"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Asserts that all breed keys follow the lowercase-only naming convention.","3301","Breed names must be lowercase strings with no whitespace","Dog API - Full Test Suite","Tue Mar 24 14:04:34 UTC 2026","passed","Tue Mar 24 14:04:37 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","breedNamesMustBeLowercase"
"","206","Known breed 'bulldog' must be present in the list","Dog API - Full Test Suite","Tue Mar 24 14:04:38 UTC 2026","passed","Tue Mar 24 14:04:38 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","shouldContainBulldogBreed"
"Asserts that the response JSON has the mandatory top-level fields.","855","Response body must contain 'message' and 'status' fields","Dog API - Full Test Suite","Tue Mar 24 14:04:38 UTC 2026","passed","Tue Mar 24 14:04:39 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","shouldHaveMandatoryResponseFields"
"Validates the returned URL against the Dog CEO CDN regex pattern.","179","Image URL must match the expected CDN pattern","Dog API - Full Test Suite","Tue Mar 24 14:04:45 UTC 2026","passed","Tue Mar 24 14:04:45 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","imageUrlMustMatchCdnPattern"
"Asserts that the image URL has a recognised extension: .jpg, .jpeg, .png, or .gif.","193","Image URL must end with a valid image file extension","Dog API - Full Test Suite","Tue Mar 24 14:04:45 UTC 2026","passed","Tue Mar 24 14:04:45 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","imageUrlMustHaveValidExtension"
"Asserts that image URLs returned for a breed contain that breed's name in the path.","345","Image URL path must contain the requested breed name","Dog API - Full Test Suite","Tue Mar 24 14:04:40 UTC 2026","passed","Tue Mar 24 14:04:41 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","imageUrlsMustContainBreedName"
"Checks that the well-known breed 'hound' is included in the response.","202","Known breed 'hound' must be present in the list","Dog API - Full Test Suite","Tue Mar 24 14:04:38 UTC 2026","passed","Tue Mar 24 14:04:38 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","shouldContainHoundBreed"
"","215","Response status field must be 'success' for labrador","Dog API - Full Test Suite","Tue Mar 24 14:04:43 UTC 2026","passed","Tue Mar 24 14:04:43 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","statusFieldShouldBeSuccessForValidBreed"
"Checks that the well-known breed 'labrador' is included in the response.","200","Known breed 'labrador' must be present in the list","Dog API - Full Test Suite","Tue Mar 24 14:04:38 UTC 2026","passed","Tue Mar 24 14:04:38 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","shouldContainLabradorBreed"
"Asserts that 'message' is a map with at least one breed entry.","228","Message should contain a non-empty breeds map","Dog API - Full Test Suite","Tue Mar 24 14:04:37 UTC 2026","passed","Tue Mar 24 14:04:37 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","messageShouldBeNonEmptyMap"
"Parameterised test: verifies HTTP 200 for multiple known breed slugs.","180","GET /breed/{breed}/images should return HTTP 200 for known breeds","Dog API - Full Test Suite","Tue Mar 24 14:04:42 UTC 2026","passed","Tue Mar 24 14:04:43 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","shouldReturn200ForKnownBreed"
"","187","Response time for breed images must be under 8 seconds","Dog API - Full Test Suite","Tue Mar 24 14:04:42 UTC 2026","passed","Tue Mar 24 14:04:42 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","responseTimeShouldBeAcceptable"
"Validates that /breed/{breed}/{sub-breed}/images works for known sub-breeds.","193","Sub-breed images endpoint should return HTTP 200","Dog API - Full Test Suite","Tue Mar 24 14:04:44 UTC 2026","passed","Tue Mar 24 14:04:44 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","subBreedImagesShouldReturn200"
"Validates the data type of the 'message' field for breed images.","259","Image list must be an array of strings","Dog API - Full Test Suite","Tue Mar 24 14:04:40 UTC 2026","passed","Tue Mar 24 14:04:40 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","imageMessageMustBeAnArrayOfStrings"
"Validates that /breed/{breed}/{sub-breed}/images works for known sub-breeds.","196","Sub-breed images endpoint should return HTTP 200","Dog API - Full Test Suite","Tue Mar 24 14:04:43 UTC 2026","passed","Tue Mar 24 14:04:44 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","subBreedImagesShouldReturn200"
"Validates that /breed/{breed}/{sub-breed}/images works for known sub-breeds.","188","Sub-breed images endpoint should return HTTP 200","Dog API - Full Test Suite","Tue Mar 24 14:04:44 UTC 2026","passed","Tue Mar 24 14:04:44 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","subBreedImagesShouldReturn200"
"Parameterised test: verifies HTTP 200 for multiple known breed slugs.","189","GET /breed/{breed}/images should return HTTP 200 for known breeds","Dog API - Full Test Suite","Tue Mar 24 14:04:42 UTC 2026","passed","Tue Mar 24 14:04:42 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","shouldReturn200ForKnownBreed"
"Validates that the endpoint is reachable and returns HTTP 200 with JSON content type.","189","GET /breeds/list/all should return HTTP 200","Dog API - Full Test Suite","Tue Mar 24 14:04:39 UTC 2026","passed","Tue Mar 24 14:04:39 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","shouldReturn200WithJsonContentType"
"Confirms that at least one image URL is returned for the 'labrador' breed.","206","Image list for labrador must be non-empty","Dog API - Full Test Suite","Tue Mar 24 14:04:40 UTC 2026","passed","Tue Mar 24 14:04:40 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","imagListMustBeNonEmptyForLabrador"
"Parameterised test: verifies HTTP 200 for multiple known breed slugs.","188","GET /breed/{breed}/images should return HTTP 200 for known breeds","Dog API - Full Test Suite","Tue Mar 24 14:04:42 UTC 2026","passed","Tue Mar 24 14:04:42 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","shouldReturn200ForKnownBreed"
