"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Confirms the server sends the correct Content-Type header.","191","Response Content-Type header must be application/json","Dog API - Full Test Suite","Tue Mar 24 14:11:27 UTC 2026","passed","Tue Mar 24 14:11:28 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","contentTypeMustBeJson"
"Parameterised test: verifies HTTP 200 for multiple known breed slugs.","194","GET /breed/{breed}/images should return HTTP 200 for known breeds","Dog API - Full Test Suite","Tue Mar 24 14:11:26 UTC 2026","passed","Tue Mar 24 14:11:26 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","shouldReturn200ForKnownBreed"
"Makes 5 requests and asserts at least 2 distinct URLs are returned — a basic randomness sanity check.","908","Repeated calls should return images from different breeds (randomness check)","Dog API - Full Test Suite","Tue Mar 24 14:11:29 UTC 2026","passed","Tue Mar 24 14:11:30 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","repeatedCallsShouldReturnVariedImages"
"Asserts that image URLs returned for a breed contain that breed's name in the path.","213","Image URL path must contain the requested breed name","Dog API - Full Test Suite","Tue Mar 24 14:11:24 UTC 2026","passed","Tue Mar 24 14:11:24 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","imageUrlsMustContainBreedName"
"Validates that the endpoint is reachable and returns HTTP 200 with JSON content type.","182","GET /breeds/image/random should return HTTP 200","Dog API - Full Test Suite","Tue Mar 24 14:11:30 UTC 2026","passed","Tue Mar 24 14:11:31 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","shouldReturn200"
"","199","Response status field must be 'success' for labrador","Dog API - Full Test Suite","Tue Mar 24 14:11:26 UTC 2026","passed","Tue Mar 24 14:11:27 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","statusFieldShouldBeSuccessForValidBreed"
"Validates that /breed/{breed}/{sub-breed}/images works for known sub-breeds.","197","Sub-breed images endpoint should return HTTP 200","Dog API - Full Test Suite","Tue Mar 24 14:11:27 UTC 2026","passed","Tue Mar 24 14:11:27 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","subBreedImagesShouldReturn200"
"Asserts that all breed keys follow the lowercase-only naming convention.","3057","Breed names must be lowercase strings with no whitespace","Dog API - Full Test Suite","Tue Mar 24 14:11:17 UTC 2026","passed","Tue Mar 24 14:11:21 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","breedNamesMustBeLowercase"
"","202","Known breed 'poodle' must be present in the list","Dog API - Full Test Suite","Tue Mar 24 14:11:22 UTC 2026","passed","Tue Mar 24 14:11:22 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","shouldContainPoodleBreed"
"Parameterised test: verifies HTTP 200 for multiple known breed slugs.","184","GET /breed/{breed}/images should return HTTP 200 for known breeds","Dog API - Full Test Suite","Tue Mar 24 14:11:26 UTC 2026","passed","Tue Mar 24 14:11:26 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","shouldReturn200ForKnownBreed"
"Makes 3 consecutive requests and verifies all return HTTP 200 — basic availability check.","561","Endpoint must be consistently reachable (idempotency check)","Dog API - Full Test Suite","Tue Mar 24 14:11:28 UTC 2026","passed","Tue Mar 24 14:11:28 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","endpointMustBeConsistentlyReachable"
"Parameterised test: verifies HTTP 200 for multiple known breed slugs.","185","GET /breed/{breed}/images should return HTTP 200 for known breeds","Dog API - Full Test Suite","Tue Mar 24 14:11:26 UTC 2026","passed","Tue Mar 24 14:11:26 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","shouldReturn200ForKnownBreed"
"","193","Status field must equal 'success'","Dog API - Full Test Suite","Tue Mar 24 14:11:31 UTC 2026","passed","Tue Mar 24 14:11:31 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","statusFieldShouldBeSuccess"
"Confirms that at least one image URL is returned for the 'labrador' breed.","211","Image list for labrador must be non-empty","Dog API - Full Test Suite","Tue Mar 24 14:11:24 UTC 2026","passed","Tue Mar 24 14:11:24 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","imagListMustBeNonEmptyForLabrador"
"Validates the returned URL against the Dog CEO CDN regex pattern.","184","Image URL must match the expected CDN pattern","Dog API - Full Test Suite","Tue Mar 24 14:11:29 UTC 2026","passed","Tue Mar 24 14:11:29 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","imageUrlMustMatchCdnPattern"
"Confirms that the error response body includes a descriptive message string.","207","Error response for invalid breed must contain a non-empty message","Dog API - Full Test Suite","Tue Mar 24 14:11:25 UTC 2026","passed","Tue Mar 24 14:11:25 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","invalidBreedErrorResponseMustContainMessage"
"Confirms that the returned URL points to the official Dog CEO CDN path.","193","Image URL must contain 'images.dog.ceo/breeds/' in the path","Dog API - Full Test Suite","Tue Mar 24 14:11:28 UTC 2026","passed","Tue Mar 24 14:11:28 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","imageUrlMustContainBreedsCdnPath"
"Ensures the API-level status flag reports 'error' for an unknown breed.","192","Invalid breed response status field should be 'error'","Dog API - Full Test Suite","Tue Mar 24 14:11:25 UTC 2026","passed","Tue Mar 24 14:11:25 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","invalidBreedStatusFieldShouldBeError"
"Asserts that 'message' is a map with at least one breed entry.","215","Message should contain a non-empty breeds map","Dog API - Full Test Suite","Tue Mar 24 14:11:21 UTC 2026","passed","Tue Mar 24 14:11:21 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","messageShouldBeNonEmptyMap"
"Verifies the API returns a proper 404 when an unknown breed slug is requested.","187","Invalid breed should return HTTP 404","Dog API - Full Test Suite","Tue Mar 24 14:11:25 UTC 2026","passed","Tue Mar 24 14:11:25 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","invalidBreedShouldReturn404"
"Asserts that the image URL has a recognised extension: .jpg, .jpeg, .png, or .gif.","179","Image URL must end with a valid image file extension","Dog API - Full Test Suite","Tue Mar 24 14:11:28 UTC 2026","passed","Tue Mar 24 14:11:29 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","imageUrlMustHaveValidExtension"
"Validates that /breed/{breed}/{sub-breed}/images works for known sub-breeds.","195","Sub-breed images endpoint should return HTTP 200","Dog API - Full Test Suite","Tue Mar 24 14:11:27 UTC 2026","passed","Tue Mar 24 14:11:27 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","subBreedImagesShouldReturn200"
"Validates that the endpoint is reachable and returns HTTP 200 with JSON content type.","198","GET /breeds/list/all should return HTTP 200","Dog API - Full Test Suite","Tue Mar 24 14:11:23 UTC 2026","passed","Tue Mar 24 14:11:23 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","shouldReturn200WithJsonContentType"
"Parameterised test: verifies HTTP 200 for multiple known breed slugs.","190","GET /breed/{breed}/images should return HTTP 200 for known breeds","Dog API - Full Test Suite","Tue Mar 24 14:11:26 UTC 2026","passed","Tue Mar 24 14:11:26 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","shouldReturn200ForKnownBreed"
